label,start_datetime,end_datetime,room_capacity,room_name,course_name,course_code
cours,2024-03-12 13:00:00,2024-03-12 15:00:00,70.0,CE1104,Psychologie des émotions,HUM-239
cours,2024-03-19 13:00:00,2024-03-19 15:00:00,70.0,CE1104,Psychologie des émotions,HUM-239
cours,2024-02-20 13:00:00,2024-02-20 15:00:00,70.0,CE1104,Psychologie des émotions,HUM-239
cours,2024-03-26 13:00:00,2024-03-26 15:00:00,70.0,CE1104,Psychologie des émotions,HUM-239
cours,2024-05-28 13:00:00,2024-05-28 15:00:00,70.0,CE1104,Psychologie des émotions,HUM-239
cours,2024-05-07 13:00:00,2024-05-07 15:00:00,48.0,ELG120,"Science, technologie et société D",HUM-332
cours,2024-05-14 13:00:00,2024-05-14 15:00:00,48.0,ELG120,"Science, technologie et société D",HUM-332
cours,2024-02-19 13:00:00,2024-02-19 15:00:00,112.0,SG0211,Synthetic biology,BIOENG-320
cours,2024-02-26 13:00:00,2024-02-26 15:00:00,112.0,SG0211,Synthetic biology,BIOENG-320
cours,2024-02-19 16:00:00,2024-02-19 18:00:00,50.0,GRA331,Urban public transport systems,CIVIL-324
cours,2024-03-18 16:00:00,2024-03-18 18:00:00,50.0,GRA331,Urban public transport systems,CIVIL-324
exercice,2024-03-25 18:00:00,2024-03-25 19:00:00,50.0,GRA331,Urban public transport systems,CIVIL-324
cours,2024-03-04 16:00:00,2024-03-04 18:00:00,72.0,BS270,Introduction to econometrics,MGT-581
exercice,2024-03-22 13:00:00,2024-03-22 15:00:00,114.0,INF1,Introduction to econometrics,MGT-581
cours,2024-04-29 16:00:00,2024-04-29 18:00:00,72.0,BS270,Introduction to econometrics,MGT-581
cours,2024-05-06 16:00:00,2024-05-06 18:00:00,72.0,BS270,Introduction to econometrics,MGT-581
exercice,2024-05-24 13:00:00,2024-05-24 15:00:00,114.0,INF1,Introduction to econometrics,MGT-581
projet,2024-05-01 16:00:00,2024-05-01 19:00:00,64.0,CM1221,Emotion and value II,HUM-479
projet,2024-05-15 16:00:00,2024-05-15 19:00:00,64.0,CM1221,Emotion and value II,HUM-479
cours,2024-02-26 14:00:00,2024-02-26 16:00:00,68.0,CHB330,Chemistry of f elements,CH-427
cours,2024-04-08 14:00:00,2024-04-08 16:00:00,68.0,CHB330,Chemistry of f elements,CH-427
cours,2024-03-06 13:00:00,2024-03-06 16:00:00,94.0,MEB331,Principles of digital communications,COM-302
