année académique plan,semestre plan,code matière,matière,section responsable,type d'enseignement,nb étudiants,jour,heure début séance,heure fin séance,espace (code),nb.places dans l'espace,nombre total d'espaces,nombre total de places,overbooking
2023-2024,HIVER,AR-101,Théorie et critique du projet BA1,Architecture,Cours,251,monday,10:15,12:00,CE4,233,1,233,oui
2023-2024,HIVER,AR-114,Modélisation numérique,Architecture,Cours,257,tuesday,15:15,18:00,CO3,218,1,218,oui
2023-2024,HIVER,AR-119,Art fundaments,Architecture,Cours,249,wednesday,08:15,09:00,AAC008,60,6,539,non
2023-2024,HIVER,AR-119,Art fundaments,Architecture,Cours,249,wednesday,08:15,09:00,AAC014,60,6,539,non
2023-2024,HIVER,AR-119,Art fundaments,Architecture,Cours,249,wednesday,08:15,09:00,AAC108,60,6,539,non
2023-2024,HIVER,AR-119,Art fundaments,Architecture,Cours,249,wednesday,08:15,09:00,AAC114,60,6,539,non
2023-2024,HIVER,AR-119,Art fundaments,Architecture,Cours,249,wednesday,08:15,09:00,AAC132,60,6,539,non
2023-2024,HIVER,AR-119,Art fundaments,Architecture,Cours,249,wednesday,08:15,09:00,BCH2201,239,6,539,non
2023-2024,HIVER,AR-119,Art fundaments,Architecture,Exercices,249,wednesday,09:15,10:00,AAC008,60,6,539,non
2023-2024,HIVER,AR-119,Art fundaments,Architecture,Exercices,249,wednesday,09:15,10:00,AAC014,60,6,539,non
2023-2024,HIVER,AR-119,Art fundaments,Architecture,Exercices,249,wednesday,09:15,10:00,AAC108,60,6,539,non
2023-2024,HIVER,AR-119,Art fundaments,Architecture,Exercices,249,wednesday,09:15,10:00,AAC114,60,6,539,non
2023-2024,HIVER,AR-119,Art fundaments,Architecture,Exercices,249,wednesday,09:15,10:00,AAC132,60,6,539,non
2023-2024,HIVER,AR-119,Art fundaments,Architecture,Exercices,249,wednesday,09:15,10:00,BCH2201,239,6,539,non
2023-2024,HIVER,AR-119,Art fundaments,Architecture,Exercices,249,wednesday,10:15,12:00,AAC008,60,6,539,non
2023-2024,HIVER,AR-119,Art fundaments,Architecture,Exercices,249,wednesday,10:15,12:00,AAC014,60,6,539,non
2023-2024,HIVER,AR-119,Art fundaments,Architecture,Exercices,249,wednesday,10:15,12:00,AAC108,60,6,539,non
2023-2024,HIVER,AR-119,Art fundaments,Architecture,Exercices,249,wednesday,10:15,12:00,AAC114,60,6,539,non
2023-2024,HIVER,AR-119,Art fundaments,Architecture,Exercices,249,wednesday,10:15,12:00,AAC132,60,6,539,non
2023-2024,HIVER,AR-119,Art fundaments,Architecture,Exercices,249,wednesday,10:15,12:00,BCH2201,239,6,539,non
2023-2024,HIVER,AR-129,Tomographie architecturale,Architecture,Cours,249,friday,08:15,10:00,SG1,348,1,348,non
2023-2024,HIVER,AR-129,Tomographie architecturale,Architecture,Exercices,249,friday,10:15,12:00,SG1,348,1,348,non
2023-2024,HIVER,AR-154,Histoire et théories de l'environnement I,Architecture,Cours,252,thursday,14:15,16:00,CO2,218,1,218,oui
2023-2024,HIVER,AR-211,Stéréotomie,Architecture,Cours,202,friday,08:15,10:00,PO01,180,1,180,oui
2023-2024,HIVER,AR-211,Stéréotomie,Architecture,Exercices,202,friday,10:15,12:00,PO01,180,1,180,oui
2023-2024,HIVER,AR-219,CAO avancée et modélisation intégrée DIM,Architecture,Cours,202,friday,13:15,15:00,CM2,190,1,190,oui
2023-2024,HIVER,AR-219,CAO avancée et modélisation intégrée DIM,Architecture,Exercices,202,friday,15:15,17:00,CM2,190,1,190,oui
2023-2024,HIVER,AR-225,History of architecture III/IV,Architecture,Cours,203,wednesday,13:15,17:00,CO2,218,1,218,non
2023-2024,HIVER,AR-241,Technologie du bâti III,Architecture,Cours,202,thursday,11:15,13:00,CE4,233,1,233,non
2023-2024,HIVER,AR-241,Technologie du bâti III,Architecture,Cours,202,thursday,14:15,17:00,CE1,214,1,214,non
2023-2024,HIVER,AR-301(a),Théorie et critique du projet BA5 (Viganò),Architecture,Projet,5,monday,08:15,12:00,CO121,31,1,31,non
2023-2024,HIVER,AR-329,Constructing the view: built images,Architecture,Cours,133,thursday,15:15,17:00,AAC231,144,1,144,non
2023-2024,HIVER,AR-329,Constructing the view: built images,Architecture,Exercices,133,thursday,17:15,19:00,AAC231,144,1,144,non
2023-2024,HIVER,AR-340,Technologie du bâti V,Architecture,Cours,131,wednesday,14:15,17:00,CM2,190,1,190,non
2023-2024,HIVER,AR-340,Technologie du bâti V,Architecture,Exercices,131,friday,09:15,12:00,CM4,129,1,129,oui
2023-2024,HIVER,AR-362,Théorie de l'urbanisme,Architecture,Cours,122,thursday,08:15,12:00,ELA1,122,1,122,non
2023-2024,HIVER,AR-365,Théorie et culture architecturales,Architecture,Cours,127,wednesday,08:15,12:00,CM4,129,1,129,non
2023-2024,HIVER,AR-413,Constructing the view: still life,Architecture,Cours,111,thursday,12:15,14:00,AAC231,144,1,144,non
2023-2024,HIVER,AR-434,Théories et techniques du projet de sauvegarde,Architecture,Cours,46,thursday,08:15,12:00,AAC120,60,1,60,non
2023-2024,HIVER,AR-439,UE F : Architecture et réhabilitation,Architecture,Cours,22,friday,13:15,16:00,AAC014,60,1,60,non
2023-2024,HIVER,AR-439,UE F : Architecture et réhabilitation,Architecture,Exercices,22,friday,16:15,18:00,AAC014,60,1,60,non
2023-2024,HIVER,AR-440,UE K : Architecture et durabilité : études de performances,Architecture,Cours,17,friday,13:15,16:00,AAC020,60,1,60,non
2023-2024,HIVER,AR-440,UE K : Architecture et durabilité : études de performances,Architecture,Exercices,17,friday,16:15,18:00,AAC020,60,1,60,non
2023-2024,HIVER,AR-442,Comfort and architecture: sustainable strategies,Architecture,Cours,34,friday,09:15,11:00,AAC114,60,2,117,non
2023-2024,HIVER,AR-442,Comfort and architecture: sustainable strategies,Architecture,Cours,34,friday,09:15,11:00,SG0217,57,2,117,non
2023-2024,HIVER,AR-442,Comfort and architecture: sustainable strategies,Architecture,Exercices,34,friday,11:15,12:00,AAC114,60,2,117,non
2023-2024,HIVER,AR-442,Comfort and architecture: sustainable strategies,Architecture,Exercices,34,friday,11:15,12:00,SG0217,57,2,117,non
