année académique plan,semestre plan,code matière,matière,section responsable,type d'enseignement,nb étudiants,jour,heure début séance,heure fin séance,espace (code),nb.places dans l'espace,nombre total d'espaces,nombre total de places,overbooking
2023-2024,HIVER,PHYS-100,Physique avancée I (mécanique),Physique,Cours,339,tuesday,15:15,17:00,CE6,308,1,308,oui
2023-2024,HIVER,PHYS-100,Physique avancée I (mécanique),Physique,Cours,339,wednesday,10:15,12:00,CE6,308,1,308,oui
2023-2024,HIVER,PHYS-100,Physique avancée I (mécanique),Physique,Exercices,339,friday,09:15,10:00,CE6,308,1,308,oui
2023-2024,HIVER,PHYS-100,Physique avancée I (mécanique),Physique,Exercices,339,friday,10:15,12:00,BS150,64,8,391,non
2023-2024,HIVER,PHYS-100,Physique avancée I (mécanique),Physique,Exercices,339,friday,10:15,12:00,CM010,48,8,391,non
2023-2024,HIVER,PHYS-100,Physique avancée I (mécanique),Physique,Exercices,339,friday,10:15,12:00,CM013,60,8,391,non
2023-2024,HIVER,PHYS-100,Physique avancée I (mécanique),Physique,Exercices,339,friday,10:15,12:00,CM09,40,8,391,non
2023-2024,HIVER,PHYS-100,Physique avancée I (mécanique),Physique,Exercices,339,friday,10:15,12:00,CO122,40,8,391,non
2023-2024,HIVER,PHYS-100,Physique avancée I (mécanique),Physique,Exercices,339,friday,10:15,12:00,CO123,40,8,391,non
2023-2024,HIVER,PHYS-100,Physique avancée I (mécanique),Physique,Exercices,339,friday,10:15,12:00,CO124,40,8,391,non
2023-2024,HIVER,PHYS-100,Physique avancée I (mécanique),Physique,Exercices,339,friday,10:15,12:00,GRA332,59,8,391,non
2023-2024,HIVER,PHYS-101(a),Physique générale : mécanique,Physique,Cours,238,tuesday,12:15,13:00,CE1,214,1,214,oui
2023-2024,HIVER,PHYS-101(a),Physique générale : mécanique,Physique,Cours,238,thursday,08:15,10:00,CE3,214,3,1012,non
2023-2024,HIVER,PHYS-101(a),Physique générale : mécanique,Physique,Cours,238,thursday,08:15,10:00,SG1,348,3,1012,non
2023-2024,HIVER,PHYS-101(a),Physique générale : mécanique,Physique,Cours,238,thursday,08:15,10:00,STCC - Cloud C,450,3,1012,non
2023-2024,HIVER,PHYS-101(a),Physique générale : mécanique,Physique,Exercices,238,tuesday,16:15,17:00,CE3,214,2,447,non
2023-2024,HIVER,PHYS-101(a),Physique générale : mécanique,Physique,Exercices,238,tuesday,16:15,17:00,CE4,233,2,447,non
2023-2024,HIVER,PHYS-101(a),Physique générale : mécanique,Physique,Exercices,238,tuesday,17:15,19:00,CM09,40,6,240,non
2023-2024,HIVER,PHYS-101(a),Physique générale : mécanique,Physique,Exercices,238,tuesday,17:15,19:00,CO010,40,6,240,non
2023-2024,HIVER,PHYS-101(a),Physique générale : mécanique,Physique,Exercices,238,tuesday,17:15,19:00,CO011,40,6,240,non
2023-2024,HIVER,PHYS-101(a),Physique générale : mécanique,Physique,Exercices,238,tuesday,17:15,19:00,CO015,40,6,240,non
2023-2024,HIVER,PHYS-101(a),Physique générale : mécanique,Physique,Exercices,238,tuesday,17:15,19:00,CO016,40,6,240,non
2023-2024,HIVER,PHYS-101(a),Physique générale : mécanique,Physique,Exercices,238,tuesday,17:15,19:00,CO017,40,6,240,non
2023-2024,HIVER,PHYS-101(c),Physique générale : mécanique (IN I),Physique,Cours,134,wednesday,17:15,19:00,CE6,308,1,308,non
2023-2024,HIVER,PHYS-101(c),Physique générale : mécanique (IN I),Physique,Cours,134,thursday,12:15,13:00,CE6,308,1,308,non
2023-2024,HIVER,PHYS-101(c),Physique générale : mécanique (IN I),Physique,Exercices,134,tuesday,10:15,12:00,CO010,40,7,280,non
2023-2024,HIVER,PHYS-101(c),Physique générale : mécanique (IN I),Physique,Exercices,134,tuesday,10:15,12:00,CO011,40,7,280,non
2023-2024,HIVER,PHYS-101(c),Physique générale : mécanique (IN I),Physique,Exercices,134,tuesday,10:15,12:00,CO015,40,7,280,non
2023-2024,HIVER,PHYS-101(c),Physique générale : mécanique (IN I),Physique,Exercices,134,tuesday,10:15,12:00,CO016,40,7,280,non
2023-2024,HIVER,PHYS-101(c),Physique générale : mécanique (IN I),Physique,Exercices,134,tuesday,10:15,12:00,CO017,40,7,280,non
2023-2024,HIVER,PHYS-101(c),Physique générale : mécanique (IN I),Physique,Exercices,134,tuesday,10:15,12:00,CO122,40,7,280,non
2023-2024,HIVER,PHYS-101(c),Physique générale : mécanique (IN I),Physique,Exercices,134,tuesday,10:15,12:00,CO123,40,7,280,non
2023-2024,HIVER,PHYS-101(c),Physique générale : mécanique (IN I),Physique,Exercices,134,thursday,13:15,14:00,CE6,308,1,308,non
2023-2024,HIVER,PHYS-101(d),Physique générale : mécanique,Physique,Cours,406,tuesday,08:15,10:00,CE6,308,1,308,oui
2023-2024,HIVER,PHYS-101(d),Physique générale : mécanique,Physique,Cours,406,wednesday,16:15,17:00,CE6,308,1,308,oui
2023-2024,HIVER,PHYS-101(d),Physique générale : mécanique,Physique,Cours,406,friday,15:15,18:00,CE6,308,1,308,oui
2023-2024,HIVER,PHYS-101(d),Physique générale : mécanique,Physique,Exercices,406,monday,15:15,17:00,CO010,40,8,320,oui
2023-2024,HIVER,PHYS-101(d),Physique générale : mécanique,Physique,Exercices,406,monday,15:15,17:00,CO011,40,8,320,oui
2023-2024,HIVER,PHYS-101(d),Physique générale : mécanique,Physique,Exercices,406,monday,15:15,17:00,CO015,40,8,320,oui
2023-2024,HIVER,PHYS-101(d),Physique générale : mécanique,Physique,Exercices,406,monday,15:15,17:00,CO016,40,8,320,oui
2023-2024,HIVER,PHYS-101(d),Physique générale : mécanique,Physique,Exercices,406,monday,15:15,17:00,CO017,40,8,320,oui
2023-2024,HIVER,PHYS-101(d),Physique générale : mécanique,Physique,Exercices,406,monday,15:15,17:00,CO122,40,8,320,oui
2023-2024,HIVER,PHYS-101(d),Physique générale : mécanique,Physique,Exercices,406,monday,15:15,17:00,CO123,40,8,320,oui
2023-2024,HIVER,PHYS-101(d),Physique générale : mécanique,Physique,Exercices,406,monday,15:15,17:00,CO124,40,8,320,oui
2023-2024,HIVER,PHYS-101(d),Physique générale : mécanique,Physique,Exercices,406,monday,17:15,18:00,CE4,233,1,233,oui
2023-2024,HIVER,PHYS-101(e),Physique générale : mécanique,Physique,Cours,306,wednesday,12:15,14:00,CE6,308,1,308,non
2023-2024,HIVER,PHYS-101(e),Physique générale : mécanique,Physique,Cours,306,thursday,10:15,11:00,CE6,308,1,308,non
2023-2024,HIVER,PHYS-101(e),Physique générale : mécanique,Physique,Exercices,306,wednesday,15:15,17:00,CE1100,64,8,459,non
2023-2024,HIVER,PHYS-101(e),Physique générale : mécanique,Physique,Exercices,306,wednesday,15:15,17:00,CE1101,64,8,459,non
2023-2024,HIVER,PHYS-101(e),Physique générale : mécanique,Physique,Exercices,306,wednesday,15:15,17:00,CE1105,72,8,459,non
2023-2024,HIVER,PHYS-101(e),Physique générale : mécanique,Physique,Exercices,306,wednesday,15:15,17:00,CE1106,99,8,459,non
2023-2024,HIVER,PHYS-101(e),Physique générale : mécanique,Physique,Exercices,306,wednesday,15:15,17:00,CM1100,49,8,459,non
2023-2024,HIVER,PHYS-101(e),Physique générale : mécanique,Physique,Exercices,306,wednesday,15:15,17:00,CO010,40,8,459,non
2023-2024,HIVER,PHYS-101(e),Physique générale : mécanique,Physique,Exercices,306,wednesday,15:15,17:00,CO017,40,8,459,non
2023-2024,HIVER,PHYS-101(e),Physique générale : mécanique,Physique,Exercices,306,wednesday,15:15,17:00,CO121,31,8,459,non
2023-2024,HIVER,PHYS-101(e),Physique générale : mécanique,Physique,Exercices,306,thursday,11:15,12:00,CE6,308,1,308,non
2023-2024,HIVER,PHYS-101(en),Physique générale : mécanique (anglais),Physique,Cours,363,monday,16:15,19:00,CE6,308,1,308,oui
2023-2024,HIVER,PHYS-101(en),Physique générale : mécanique (anglais),Physique,Exercices,363,tuesday,10:15,11:00,SG1,348,1,348,oui
2023-2024,HIVER,PHYS-101(en),Physique générale : mécanique (anglais),Physique,Exercices,363,wednesday,17:15,19:00,CM1120,100,8,491,non
2023-2024,HIVER,PHYS-101(en),Physique générale : mécanique (anglais),Physique,Exercices,363,wednesday,17:15,19:00,CM1121,100,8,491,non
2023-2024,HIVER,PHYS-101(en),Physique générale : mécanique (anglais),Physique,Exercices,363,wednesday,17:15,19:00,CO010,40,8,491,non
2023-2024,HIVER,PHYS-101(en),Physique générale : mécanique (anglais),Physique,Exercices,363,wednesday,17:15,19:00,CO011,40,8,491,non
2023-2024,HIVER,PHYS-101(en),Physique générale : mécanique (anglais),Physique,Exercices,363,wednesday,17:15,19:00,CO015,40,8,491,non
2023-2024,HIVER,PHYS-101(en),Physique générale : mécanique (anglais),Physique,Exercices,363,wednesday,17:15,19:00,CO016,40,8,491,non
2023-2024,HIVER,PHYS-101(en),Physique générale : mécanique (anglais),Physique,Exercices,363,wednesday,17:15,19:00,GCA330,71,8,491,non
2023-2024,HIVER,PHYS-101(en),Physique générale : mécanique (anglais),Physique,Exercices,363,wednesday,17:15,19:00,GCA331,60,8,491,non
2023-2024,HIVER,PHYS-101(f),Physique générale : mécanique,Physique,Cours,216,wednesday,09:15,12:00,CE4,233,1,233,non
2023-2024,HIVER,PHYS-101(f),Physique générale : mécanique,Physique,Exercices,216,wednesday,15:15,16:00,CE4,233,1,233,non
2023-2024,HIVER,PHYS-101(f),Physique générale : mécanique,Physique,Exercices,216,friday,10:15,12:00,BS260,72,7,342,non
